id,task,downloads,likes,tags,description
usyd-community/vitpose-plus-base,keypoint-detection,4870536,31,"transformers, safetensors, vitpose, keypoint-detection, en, arxiv:2204.12484, license:apache-2.0, endpoints_compatible",ViTPose: Simple Vision Transformer Baselines for Human Pose Estimation and ViTPose+: Vision Transformer Foundation Model for Generic Body Pose Estimation. It obtains 81.1 AP on MS COCO Keypoint test-d
Mungert/Holo1-3B-GGUF,visual-document-retrieval,445,1,"transformers, gguf, multimodal, action, agent, visual-document-retrieval, en, arxiv:2506.02865",This model is described in the paper [Surfer-H Meets Holo1: Cost-Efficient Web Agent Powered by Open Weights](https://huggingface.co/papers/2506.02865). The project page can be found at [https://www.s
AInVFX/SeedVR2_comfyUI,video-to-video,43816,52,"diffusers, gguf, art, video-to-video, base_model:ByteDance-Seed/SeedVR2-3B, base_model:quantized:ByteDance-Seed/SeedVR2-3B, license:apache-2.0, region:us","This repository contains additional upscale models for SeedVR2 video upscaling, complementing the main [numz/SeedVR2_comfyUI](https://huggingface.co/numz/SeedVR2_comfyUI) repository."
mlx-community/gemma-4-e4b-it-8bit,any-to-any,41246,14,"mlx, safetensors, gemma4, any-to-any, license:apache-2.0, 8-bit, region:us",This model was converted to MLX format from [`google/gemma-4-e4b-it`](https://huggingface.co/google/gemma-4-e4b-it)
hiddenlayerr/champion-edge-rf-model,tabular-classification,3,0,"transformers, joblib, tabular-classification, endpoints_compatible, region:us",
teohyc/Covid-XRay-Diffusion-Model,unconditional-image-generation,61,0,"diffusers, safetensors, Lung, Pneumonia, Covid-19, PyTorch, unconditional-image-generation, en",This is a diffusion model designed for generating synthetic COVID-19 X-ray images. The model takes random noise as input and iteratively denoises it to produce realistic X-ray images.
cyankiwi/gemma-4-31B-it-AWQ-4bit,image-text-to-text,322762,27,"transformers, safetensors, gemma4, image-text-to-text, conversational, base_model:google/gemma-4-31B-it, base_model:quantized:google/gemma-4-31B-it, license:apache-2.0","Gemma is a family of open models built by Google DeepMind. Gemma 4 models are multimodal, handling text and image input (with audio supported on small models) and generating text output. This release "
timm/ViT-B-32-SigLIP2-256,zero-shot-image-classification,11333,1,"open_clip, safetensors, siglip, siglip2, vision, zero-shot-image-classification, dataset:webli, arxiv:2502.14786",A SigLIP 2 Vision-Lanuage model trained on WebLI.
Tavernari/git-commit-message,summarization,677,23,"transformers, gguf, qwen2, git, commit, message, summarization, dataset:Tavernari/git-commit-message-dt","Welcome to the **Git Commit Message Generator**—an AI-powered tool that turns your code diffs into clear, meaningful commit messages with detailed reasoning. Hosted on Hugging Face, this reasoning ver"
keremberke/yolov8m-table-extraction,object-detection,9249,44,"ultralytics, tensorboard, v8, ultralyticsplus, yolov8, yolo, vision, object-detection",- Install [ultralyticsplus](https://github.com/fcakyon/ultralyticsplus):
polymathic-ai/aion-base,any-to-any,13078,19,"aion, safetensors, model_hub_mixin, pytorch_model_hub_mixin, any-to-any, dataset:MultimodalUniverse/legacysurvey, dataset:MultimodalUniverse/hsc, dataset:MultimodalUniverse/gaia","**AION-base** is a 300M parameter large omnimodal model specifically designed for astronomical surveys, presented in the paper [AION-1: Omnimodal Foundation Model for Astronomical Sciences](https://hu"
microsoft/trocr-large-handwritten,image-to-text,286018,158,"transformers, pytorch, vision-encoder-decoder, image-text-to-text, trocr, image-to-text, arxiv:2109.10282, endpoints_compatible",TrOCR model fine-tuned on the [IAM dataset](https://fki.tic.heia-fr.ch/databases/iam-handwriting-database). It was introduced in the paper [TrOCR: Transformer-based Optical Character Recognition with 
meta-llama/Llama-4-Scout-17B-16E-Instruct,image-text-to-text,364823,1266,"transformers, safetensors, llama4, image-text-to-text, facebook, meta, pytorch, llama",
Video-R1/Qwen2.5-VL-7B-COT-SFT,video-text-to-text,264,2,"transformers, safetensors, qwen2_5_vl, image-text-to-text, video-text-to-text, en, dataset:Video-R1/Video-R1-data, arxiv:2503.21776","This repository contains `Video-R1/Qwen2.5-VL-7B-COT-SFT`, the SFT (Supervised Fine-Tuning) cold start model trained using the Video-R1-COT-165k dataset. This intermediate checkpoint serves as the bas"
HPAI-BSC/Llama3.1-Aloe-Beta-8B,question-answering,1384,19,"transformers, safetensors, llama, text-generation, biology, medical, healthcare, question-answering",Aloe: A Family of Fine-tuned Open Healthcare LLMs
jinaai/jina-reranker-m0,text-classification,137256,118,"transformers, safetensors, qwen2_vl, feature-extraction, sentence-transformers, vidore, reranker, text-classification",[GGUF](https://huggingface.co/jinaai/jina-reranker-m0-GGUF)| [Blog](https://jina.ai/news/jina-reranker-m0-multilingual-multimodal-document-reranker) | [API](https://jina.ai/reranker) | [AWS](https://a
dslim/bert-large-NER,token-classification,121094,162,"transformers, pytorch, tf, jax, onnx, safetensors, bert, token-classification","If my open source models have been useful to you, please consider supporting me in building small, useful AI models for everyone (and help me afford med school / help out my parents financially). Than"
MidnightRunner/Ultralytics,object-detection,1505,5,"ultralytics, pytorch, yolo, yolov8, yolov11, object-detection, en, dataset:wider_face",**ComfyUI Ultralytics Integration – Midnight1111 Model Collection**
facebook/dpt-dinov2-giant-nyu,depth-estimation,60,1,"transformers, pytorch, safetensors, dpt, depth-estimation, vision, dinov2, arxiv:2304.07193",DPT (Dense Prediction Transformer) model with DINOv2 backbone as proposed in [DINOv2: Learning Robust Visual Features without Supervision](https://arxiv.org/abs/2304.07193) by Oquab et al.
speechbrain/emotion-recognition-wav2vec2-IEMOCAP,audio-classification,518876,184,"speechbrain, audio-classification, Emotion, Recognition, wav2vec2, pytorch, en, dataset:iemocap",This repository provides all the necessary tools to perform emotion recognition with a fine-tuned wav2vec2 (base) model using SpeechBrain.
intfloat/e5-small-v2,sentence-similarity,959972,116,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, bert, mteb",[Text Embeddings by Weakly-Supervised Contrastive Pre-training](https://arxiv.org/pdf/2212.03533.pdf).
timm/samvit_base_patch16.sa1b,image-feature-extraction,14405,1,"timm, pytorch, safetensors, image-feature-extraction, transformers, arxiv:2304.02643, arxiv:2010.11929, license:apache-2.0","A Segment-Anything Vision Transformer (SAM ViT) image feature model (NOTE: for features and fine-tune, segmentation head not included). Pretrained on SA-1B for segementation by paper authors w/ initia"
LanguageBind/UniWorld-V1,image-to-image,10500,33,"univa, safetensors, univa_qwen2p5vl, image-to-image, arxiv:2506.03147, arxiv:2503.07265, arxiv:2412.00131, license:mit",UniWorld: High-Resolution Semantic Encoders for <br> Unified Visual Understanding and Generation
Qwen/Qwen3Guard-Stream-0.6B,feature-extraction,154443,30,"transformers, safetensors, qwen3, feature-extraction, custom_code, arxiv:2510.14276, base_model:Qwen/Qwen3-0.6B, base_model:finetune:Qwen/Qwen3-0.6B",**Qwen3Guard** is a series of safety moderation models built upon Qwen3 and trained on a dataset of 1.19 million prompts and responses labeled for safety. The series includes models of three sizes (0.
jaranohaal/vit-base-violence-detection,image-classification,60426,9,"transformers, pytorch, safetensors, image-classification, vision, violence-detection, en, dataset:abdulmananraja/real-life-violence-situations",This is a Vision Transformer (ViT) model fine-tuned for violence detection. The model is based on [google/vit-base-patch16-224-in21k](https://huggingface.co/google/vit-base-patch16-224-in21k) and has 
timm/swinv2_tiny_window8_256.ms_in1k,image-classification,49726,2,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2111.09883, license:mit",A Swin Transformer V2 image classification model. Pretrained on ImageNet-1k by paper authors.
